columna,tipo,origen,valores_unicos,valores_faltantes
CODIGO_ACCIDENTE,float64,Original,196152,0
FECHA,datetime64[ns],Original,2192,0
GRAVEDAD,Int64,Original,3,0
CLASE,Int64,Original,7,0
CHOQUE,Int64,Original,5,0
CODIGO_LOCALIDAD,Int64,Original,20,0
DISENO_LUGAR,Int64,Original,13,0
anio,int32,Creada,6,0
mes,int32,Creada,12,0
dia_mes,int32,Creada,31,0
dia_semana,int32,Creada,7,0
es_fin_semana,int64,Creada,2,0
hora_num,int32,Creada,24,0
riesgo_alto,int64,Creada,2,0
siniestros_localidad,int64,Creada,20,0
siniestros_tipo_via,int64,Creada,5,0
siniestros_periodo,int64,Creada,4,0
zona_occidente,int64,Creada,2,0
zona_sur,int64,Creada,2,0
zona_norte,int64,Creada,2,0
zona_centro,int64,Creada,2,0
franja_horaria_bin,int64,Transformada,2,0
nombre_dia_encoded,int64,Transformada,7,0
periodo_dia_MANANA,bool,Creada,2,0
periodo_dia_NOCHE,bool,Creada,2,0
periodo_dia_TARDE,bool,Creada,2,0
franja_horaria_VALLE,bool,Creada,2,0
localidad_nombre_encoded,int64,Transformada,20,0
zona_bogota_NORTE,bool,Creada,2,0
zona_bogota_OCCIDENTE,bool,Creada,2,0
zona_bogota_SUR,bool,Creada,2,0
tipo_via_CALLE,bool,Creada,2,0
tipo_via_CARRERA,bool,Creada,2,0
tipo_via_DIAGONAL,bool,Creada,2,0
tipo_via_OTRA,bool,Creada,2,0
gravedad_x_periodo_encoded,int64,Transformada,12,0
momento_semana_FDS_VALLE,bool,Creada,2,0
momento_semana_LABORAL_PICO,bool,Creada,2,0
momento_semana_LABORAL_VALLE,bool,Creada,2,0
zona_x_periodo_encoded,int64,Transformada,16,0
