Ranking,Interseccion,Localidad,Num_Siniestros,Gravedad_Promedio,Score_Riesgo_Norm,Nivel_Riesgo,Latitud,Longitud
1,KR 80-CL 2 51,KENNEDY,34,2.676470588235294,100.0,CRITICO,4.6140101,-74.1753566
2,AV AV BOYACA-CL 26 02,FONTIBON,30,2.8,92.13483146067416,CRITICO,4.6803567,-74.1001764
3,KR 50-CL 3 02,PUENTE ARANDA,26,2.8846153846153846,82.02247191011236,CRITICO,4.643371999999999,-74.16093599999999
4,CL 80-KR 72 2,ENGATIVA,24,3.0,78.65168539325843,ALTO,4.6947594,-74.0878288
5,CL 100-KR 15 02,USAQUEN,24,2.9166666666666665,76.40449438202246,ALTO,4.6367269,-74.0679626
6,AV AV BOYACA-CL 80 02,ENGATIVA,24,2.875,75.28089887640449,ALTO,4.6973368,-74.0937649
7,KR 30-CL 6 02,MARTIRES,23,2.8260869565217392,70.78651685393258,ALTO,4.5855203,-74.0702295
8,CL 80-KR 72 02,ENGATIVA,22,2.909090909090909,69.66292134831461,ALTO,4.6947594,-74.0878288
9,CL 26-KR 72 02,FONTIBON,22,2.909090909090909,69.66292134831461,ALTO,4.687538099999999,-74.0944131
10,CL 13-KR 72 02,FONTIBON,21,2.857142857142857,65.1685393258427,ALTO,4.687538099999999,-74.0944131
11,AV AV CIUDAD DE CALI-CL 26 02,FONTIBON,22,2.727272727272727,65.16853932584269,ALTO,4.638276299999999,-74.1587524
12,AV AV BOYACA-CL 12 02,KENNEDY,20,2.9,62.92134831460674,ALTO,4.6803567,-74.1001764
13,AV AV DE LAS AMERICAS-KR 68 02,KENNEDY,20,2.7,58.42696629213483,MEDIO,4.6287913,-74.1181373
14,AV AV BOYACA-CL 60 S 02,CIUDAD BOLIVAR,19,2.8421052631578947,58.42696629213483,MEDIO,4.578342399999999,-74.14148329999999
15,CL 22C-KR 68F 02,FONTIBON,18,3.0,58.42696629213483,MEDIO,4.655361,-74.11625099999999
16,AV AV BOYACA-CL 13 02,FONTIBON,19,2.8421052631578947,58.42696629213483,MEDIO,4.6803567,-74.1001764
17,CL 100-KR 45 02,USAQUEN,18,2.9444444444444446,57.30337078651685,MEDIO,4.680305,-74.057766
18,AV AV BOYACA-CL 19 02,FONTIBON,18,2.9444444444444446,57.30337078651685,MEDIO,4.658021499999999,-74.1187152
19,KR 80-CL 2 S 51,KENNEDY,19,2.736842105263158,56.17977528089888,MEDIO,4.6140101,-74.1753566
20,AV AV BOYACA-KR 24 02,TUNJUELITO,19,2.6842105263157894,55.0561797752809,MEDIO,4.5758722,-74.1395402
